"lsoa11cd","easting","northing","median_price","avg_listed_properties","avg_distance_to_station","positive_area","moderate_area","negative_area"
"E01000066",546133,185251,250000,,1055.76604748944,797334.687915588235,276030.291934529412,135570.769523529412
"E01000067",545872,185216,250000,,990.997806463653,872276.686190560000,291082.713152440000,139918.600755200000
"E01000068",544987,184559,260000,,605.275373229226,562704.648679264706,529633.848837911765,211132.226828529412
"E01000069",545692,184786,295000,,498.708019796413,739103.041771000000,390346.277807950000,209367.832995000000
"E01000070",545286,184769,250000,,764.594022806761,761098.238956666667,331033.530635694444,208917.373580000000
"E01000071",545576,184413,249995,,353.446181114856,734099.167275882353,388722.945886617647,219192.991449116176
"E01000072",546692,184782,168000,,1010.0723120037,1130242.260007000000,316463.065684000000,233627.103042500000
"E01000073",546878,184915,155000,,916.779616079238,1124033.929608307692,297486.558399230769,250685.816526153846
"E01000074",547158,185150,149000,,770.705612607337,1088255.737669500000,228314.962374333333,270448.094829986667
"E01000075",547444,184591,179000,,258.027942449141,1242607.570587833333,270106.848465000000,261434.242424166667
"E01000076",547178,184532,146500,,457.656367864956,1246352.791508666667,412789.190853000000,262749.816520833333
"E01000077",547434,185471,166000,,1004.07651038023,1165659.095651090909,168331.319498454545,182119.556428161818
"E01000078",548023,185895,154495,,1372.34847673978,751691.699819125000,180744.653550000000,31166.597171235000
"E01000079",548415,185342,150000,,831.749613434765,831935.971558111111,136960.300801666667,113148.691039317778
"E01000080",547791,185511,155000,,1007.35058326211,823368.956290333333,148520.680362222222,167008.665933313333
"E01000081",548318,185662,169000,,1152.75955542486,761224.042089272727,101880.805246363636,41446.479825525455
"E01000082",548339,186196,155000,,1535.53586085916,665542.850163000000,235165.394518625000,26436.378132482500
"E01000083",547542,185923,167000,,1432.29058620512,1090504.554210250000,117401.236158562500,26070.725352485000
"E01000084",548914,184524,151000,,281.000944573154,904130.671496142857,239525.042289071429,87492.059265500000
"E01000085",549236,184226,148000,,497.734201814059,984626.640580388889,267403.161000055556,88572.310654388889
"E01000086",548813,184292,160000,,475.020946618946,889153.832286375000,276160.142387875000,87724.288640500000
"E01000087",549353,183776,160000,,820.614286975019,437966.062587500000,216195.377889222222,71059.209401300000
"E01000088",549558,183846,160000,,929.709305634307,372634.049449500000,246331.289502769231,71027.658438800000
"E01000089",549981,183505,150000,,1101.33194233878,248401.513987833333,267893.575095766667,110478.560278053333
"E01000090",549765,183307,150000,,928.237402782879,243623.339547000000,226110.725247400000,118097.287319950000
"E01000091",546357,183089,167500,,1290.37736156664,280904.660739083333,1367582.960469958333,86086.500591240000
"E01000092",545584,183090,175000,2.0000000000000000,1329.90603557416,84473.649546000000,675407.377722384615,295705.609398302308
"E01000093",545995,183224,177000,,1039.55372244407,194492.325487000000,473523.171416166667,290622.349747990000
"E01000094",546814,182601,150000,,1809.12700570991,188825.208087000000,1323127.925578000000,47248.673587490000
"E01000095",547833,183402,162500,,1220.20497465616,295678.670357000000,1216833.373667428571,63663.890955711429
"E01000096",546763,183619,165000,,1183.3565335245,540533.851527000000,1360432.526156600000,184955.729451990000
"E01000097",547657,187156,195000,,473.629723602637,397940.654958923077,159388.639886461538,209891.866211990000
"E01000098",547450,186765,204000,,844.031780323978,361245.102358090909,163908.069894772727,205398.986734717273
"E01000099",548013,187084,205000,,632.111358233871,341677.673475191176,206064.203511816176,224001.451134740000
"E01000100",548391,186807,156000,,1127.99375814925,154248.255160909091,305697.033243318182,108638.543825261818
"E01000101",548827,186597,165000,,1464.2918409317,528343.131062600000,506908.956700400000,21409.869544395333
"E01000102",547970,186339,160000,,1239.86302191062,540808.571756250000,219902.790929208333,85952.060219823333
"E01000103",550535,184120,152000,,1003.40620628301,240862.401367357143,1065329.485377642857,79394.866251785714
"E01000104",550487,184365,136850,,618.207566778632,312083.147546500004,1253931.975507000000,100593.232908954545
"E01000105",549449,184573,145000,,530.83692824251,791631.160277500000,533901.412297916667,120441.504652250000
"E01000106",549938,184523,95000,,578.442198107304,256295.573474750005,762779.482116416667,135813.108764500000
"E01000107",550806,184750,168000,,632.859092379247,739075.805393093760,1464882.400237875000,112484.719954312500
"E01000108",550199,184865,190000,,276.461179776096,481186.155752733343,1057259.186932500000,98995.327141833333
"E01000109",548470,187006,165000,,999.118098719303,343764.214996266667,718277.377988266667,189007.863895860667
"E01000110",548753,188343,212000,,1289.71301660038,143627.149722000000,2038328.215438894615,118978.975728000000
"E01000111",548844,187818,174000,,1151.60772541229,295512.613331647059,1656818.220936154706,134069.393219589412
"E01000112",548392,187966,180000,,718.708076730081,198667.365383000000,1269060.377022841667,213399.038869171667
"E01000113",547922,187751,204000,,297.86346263769,159264.428978500000,386680.818676940000,237825.759164129091
"E01000114",548976,187248,180000,,1366.01545909272,614728.599921250000,1248704.739095633333,123191.136213466667
"E01000115",528656,194601,438600,,1057.56076401388,359835.120988791667,533664.404588458333,121063.049448276667
"E01000116",528412,194285,340000,,1251.65564081681,332956.656837710526,584162.987923394737,184334.532194556316
"E01000117",527782,194260,328000,,891.779517842142,315275.789112388889,340449.745879629630,208609.781772933333
"E01000118",528035,194125,352000,,1239.17584386955,299883.249285928571,575798.754110857143,232239.806560172857
"E01000119",529083,193902,425000,,682.969491645875,285887.074158250000,773959.366451100000,162618.916410300000
"E01000120",528720,194330,500000,,865.16936310952,299639.820787875000,728808.324122250000,136219.533088235000
"E01000121",528020,193868,302000,,1374.93674583225,266926.275331000000,601923.847817500000,253199.313001100000
"E01000122",529034,193569,366000,,926.212230962883,209932.901633653846,740446.822705615385,160173.382144215385
"E01000123",528552,193127,280000,,894.694399297183,228743.148028738095,1074526.627918047619,203039.004056028571
"E01000124",528645,192719,250000,,460.123759856338,213000.375664772727,1415819.896623181818,199551.809931754545
"E01000125",519991,191008,221000,,429.236760881986,153160.722507000000,216690.573877470588,151266.792070705882
"E01000126",521213,190509,219000,,567.006941535833,236004.131430000000,369504.364411400000,183055.078778800000
"E01000127",520459,191090,232500,,472.630098143226,259262.372009888889,92363.210786500000,211792.123938055556
"E01000128",520736,190592,245000,,426.36809974001,244212.488930384615,98593.810397769231,97556.980198538462
"E01000129",520376,190361,220000,,296.894282030167,233782.521242750000,53859.725638000000,97286.222247250000
"E01000130",520958,190911,232000,,662.019514326338,336627.442499900000,149018.776714866667,215373.500114566667
"E01000131",521096,190253,249999,,455.109376131422,198066.245779678571,209355.304381678571,135732.288695928571
"E01000132",520850,191487,225000,,631.440197804201,357692.461073250000,115682.753624166667,301338.250579000000
"E01000133",521024,191277,235000,,569.569169525475,491473.760425750000,172284.889007750000,256854.052786125000
"E01000134",520194,191314,228000,,575.468861712294,191581.091789350000,122218.977505100000,150983.422490500000
"E01000135",524637,186868,480000,,746.176019373917,499738.69504469512090,362365.580321963415,59369.237576865854
"E01000136",525374,187017,1265000,,583.757027922375,1378566.26897685293810,247573.819492500000,28797.314316147059
"E01000137",524691,186815,351000,,891.134883877112,517238.224923578947,407830.788096236842,75689.097744789474
"E01000138",524426,186596,430000,,746.773190456292,186698.535723318182,440601.907591227273,163161.159247136364
"E01000139",524926,186162,325000,,812.730129005373,438418.625357346154,333724.570048615385,89583.009900423077
"E01000140",525095,186405,335000,,1011.70194778116,598060.16683749999890,325050.373416750000,12415.200231714286
"E01000141",524000,185897,235000,,231.130866527201,174574.520296500000,349334.487651500000,221021.275409321429
"E01000142",524046,186257,210000,,352.375308532172,74262.467054962500,468098.458929112500,206904.941504025000
"E01000143",524314,185769,240000,,305.912958081308,65511.665517250000,288184.117778062500,215562.870589875000
"E01000144",524917,187650,835000,,403.945733131303,591704.59534846874981,198040.295153750313,31626.602378750000
"E01000145",524415,187454,560000,,683.112768128682,170026.262631600000,346653.785298600000,40395.080388500000
"E01000146",524980,187142,450000,,378.696769099619,779800.38006016666513,237070.451274791667,28703.776375500000
"E01000147",521455,189347,320000,,657.636112611481,177168.190029416667,451557.423821250000,289519.169509416667
"E01000148",520855,189613,209000,,529.549019650716,181762.338809850000,265385.999946850000,133279.755472350000
"E01000150",521764,188912,224000,,792.588432493769,227139.641983205882,675522.296075411765,248487.925685705882
"E01000151",521768,190483,200000,,726.582469434312,392872.745243000000,855422.594315875000,295294.684548125000
"E01000152",521588,191209,149000,,734.669782584468,489759.225614500000,846400.395371500000,242857.609785500000
"E01000153",521293,190611,225000,,681.860007872329,309195.654825750000,413750.829715392857,200858.245839678571
"E01000154",521834,190286,218000,,553.071102985564,236304.222559875000,810714.307226375000,241460.455584500000
"E01000155",521201,189933,206000,,164.644959662707,86374.167249643750,245028.734666093750,178347.361750050000
"E01000156",528365,190696,341000,,1496.16227040975,367604.587257312500,1880411.342451281250,26597.783174781250
"E01000157",528558,190979,207000,,1261.24848221799,259018.801673352941,1961850.410904323529,103513.479466147059
"E01000158",528039,192346,266500,,687.994473256949,235005.239096533333,1627573.737033333333,92860.841503613333
"E01000159",527782,192845,465000,,1109.41400618323,149861.891033145833,1337915.731685958333,130489.421842887500
"E01000160",528341,192234,310000,,349.790588835006,276493.880133041667,1474611.650445562500,110269.844766802083
"E01000161",528048,192171,250000,,675.63267096397,234836.167423880000,1739269.446860260000,84916.932153480000
"E01000162",527517,191885,378000,,1158.59691378352,303016.610644800000,1713868.050110433333,40360.998517766667
"E01000163",528441,191630,167000,,682.653583668349,155052.245895833333,1985424.386068527778,115692.332350750000
"E01000164",528203,191099,250000,,1241.38630573358,273043.283035194444,2031219.870196027778,46089.631988944444
"E01000165",528250,191778,355000,,619.61193928339,183935.211078437500,2063951.214785312500,100655.798714406250
"E01000166",527544,196578,326000,,641.002631276483,3355564.452998047619,1327925.901310023810,187906.159112190476
"E01000167",526957,196578,225000,,758.582869713667,2354899.602332000000,1189523.929516300000,177739.643034600000
"E01000168",527592,196147,400000,,548.414534298968,3457761.667886850000,1076384.318122450000,246641.459032431000
"E01000169",527055,196250,275000,,628.774252904084,2052263.122881500000,976345.724742944444,190765.040832944444
"E01000170",527061,195686,235000,,639.938313893553,191872.840850972222,292455.641557250000,211178.578963305556
"E01000171",526677,195925,200000,,265.724080109509,311639.983365434783,457573.405994826087,150834.189573673913
"E01000172",527958,195383,349995,,941.125644743831,1848044.375954150000,329312.651460200000,209133.268186010000
"E01000173",527539,195449,372500,,813.234532417008,283250.215018681818,250185.143799318182,156820.559068917273
"E01000174",527052,195286,270000,,498.769821665144,187235.149909976190,203308.591174714286,142120.518752619048
"E01000175",527211,194857,364000,,310.487536567733,243019.149059380952,239718.274881761905,138523.016698957143
"E01000176",526179,190065,292000,,1100.4048642269,200596.404299875000,1122666.523579375000,67164.657072666667
"E01000177",526748,189836,340000,,836.93759550865,239701.412631780000,1107614.807325560000,61094.970693720000
"E01000178",527251,189842,543000,,713.515844639186,222968.642789111111,1105712.341361305556,84129.801675888889
"E01000179",526418,189988,300000,,1158.46869379569,179349.570473266667,1118544.346676866667,63596.228951000000
"E01000180",526923,189498,332500,,494.620381116102,246497.128812500000,1315450.810389384615,86734.079497461538
"E01000181",527347,189667,642700,,505.955974234119,350795.250995475000,1191910.365251950000,90940.961415000000
"E01000182",527449,189335,430000,,253.153829174716,503589.291431687500,1129673.463357281250,94952.871922812500
"E01000183",526285,189498,325000,,942.841667228726,217296.898471750000,1103288.864264555667,66848.243562666667
"E01000184",526727,190597,225000,,1388.07712043469,287234.840260000000,1033411.475572157895,56711.160735736842
"E01000185",526677,190125,202000,,1099.73956489941,235328.781591666667,1127755.255242888889,59720.190548333333
"E01000186",519352,193118,472500,,1135.00787418975,304555.625572375000,1550697.506045625000,94953.375527250000
"E01000187",519740,193322,375000,,1443.91471089561,685755.389595807692,1835099.341308653846,94074.270049384615
"E01000188",519175,193402,595000,,1414.86765644029,334607.240084230769,1617798.537457076923,43576.598260615385
"E01000189",518657,192991,270000,,1161.94294554186,1094320.191193315789,1564820.825845065789,47248.387951236842
"E01000190",518829,192539,465000,,899.492363289792,637702.646956600000,1560189.934479100000,80267.226720333333
"E01000191",519147,192695,499950,,871.804652631804,318990.202557000000,1540667.140531928571,55294.735523035714
"E01000192",519614,192268,270000,,431.259138897681,317055.272542357143,484097.994216928571,133435.990942964286
"E01000193",519213,192038,420000,,355.905665871674,456642.811818478261,867661.460343195652,116112.858650195652
"E01000194",519669,191481,315000,,433.10641068273,253284.578333000000,196240.771074857143,150983.422490500000
"E01000195",519947,193949,175000,,2037.23761817495,1009757.033419500000,1749075.283404391304,78103.041843391304
"E01000196",524997,190227,320000,,482.507470194419,134312.293534681818,976130.929514204545,140249.820571318182
"E01000197",525588,190347,400000,,540.339936337569,149013.324093423077,651976.068967500000,122019.825646961538
"E01000198",523942,190072,485000,,1404.23476330426,155555.939217043478,1177942.769000239130,59445.231671239130
"E01000199",524068,190423,472500,,1032.27665402385,45694.362809296296,1523571.367080511111,128193.169426351852
"E01000200",524524,190135,300000,,933.35922677981,119223.783471000000,1026265.612810767857,93297.935459357143
"E01000201",524399,189520,1100000,,1341.30032477279,136231.495260194444,394056.549680195111,17171.475753611111
"E01000202",524963,189954,305000,,782.694483090481,156435.202904928571,441652.083936500214,116684.026610000000
"E01000203",524976,189582,380000,,1135.61880948337,218351.868107411765,356165.471905384118,45585.516552705882
"E01000204",524698,190761,330000,,521.165005558394,64686.075139781250,1341606.336739956250,158689.907066906250
"E01000205",525684,189112,575000,1.00000000000000000000,1451.52879720537,480825.334120369565,408763.045533067217,23653.076034804348
"E01000206",526086,187529,2700000,1.00000000000000000000,865.519580335176,1730366.68591012499795,481336.044494083333,51919.923097583333
"E01000207",525954,188625,1190000,1.9090909090909091,1196.92828680794,587886.689013000000,447650.149635460333,19486.644219187500
"E01000208",526956,189077,570000,,369.913895913966,405474.467941708333,811112.305130375000,94775.944644166667
"E01000209",525196,188778,665000,1.8666666666666667,1323.01631338381,441677.562729777778,297801.235878205704,20354.184682203704
"E01000210",526179,189209,325000,,1147.86399973343,414348.022964636364,756108.600302205636,53841.434651250000
"E01000211",524878,189038,335000,1.00000000000000000000,1370.37420403124,293926.224065677419,219020.128732969742,15570.932932709677
"E01000212",525119,188144,600000,2.0000000000000000,646.788929158069,528439.836314500000,177439.811110072857,28703.776375500000
"E01000213",526133,188399,2000000,1.5000000000000000,1139.53074553754,847673.43195269999969,595930.724837800900,20627.329820350000
"E01000214",525617,187440,400000,,392.563396694619,1488328.60172859677131,267586.169578725839,28703.776375500000
"E01000215",524143,188277,390000,,490.937697621068,202825.7087584444367,218985.191016944444,42018.916640000000
"E01000216",524802,188109,610000,,823.186085429062,441137.885644166667,73761.501346001611,33386.694466361111
"E01000217",524566,188798,570800,,1120.421980543,227640.831450750000,119586.027731002000,15839.894804950000
"E01000218",524517,188091,543000,,571.195507452267,257429.9554219999988,273918.921241708333,50910.243660375000
"E01000219",523929,187782,577000,,185.549867489437,147663.2383203124948,313645.078578000000,51336.076683375000
"E01000220",524188,187846,425000,,460.404299805719,174191.233100200000,326583.371112200000,65363.213906800000
"E01000221",523524,187433,156000,,585.06886192043,141270.9267784166644,326365.625723216667,241802.690040666667
"E01000222",523969,187074,362000,,816.2775945579,83387.566420117647,350807.626624823529,202516.477787352941
"E01000223",523424,187029,300000,,949.51737825691,45848.325851444444,461277.493956477778,240331.663124611111
"E01000224",523890,186668,400500,,797.762286036281,100951.325853875000,432925.663431041667,193126.481008583333
"E01000225",524667,189039,470000,,1270.06883824527,207743.0834266206892,124506.341469311897,15561.694312741379
"E01000226",520092,191641,218000,,710.167118541468,176870.665516666667,125985.558103444444,159813.756175833333
"E01000227",520096,192076,345000,,656.470131443926,202141.560430416667,106544.080324416667,183107.429558791667
"E01000228",521321,193378,493000,,1557.91653490998,556864.186519600000,1102770.301398400000,81871.660649500000
"E01000229",520146,193113,305000,,1432.34727727788,376921.464455000000,847632.636588562500,108664.649647500000
"E01000230",519937,193037,320000,,1185.06856411975,488477.164299923077,1220012.092877884615,133164.710862923077
"E01000231",520705,193290,205000,,1484.33646956463,525160.379092823529,753059.686872558824,112879.641101441176
"E01000232",520496,192588,408500,,1018.4265960331,373009.097940785714,651018.981740750000,187379.783539000000
"E01000233",520449,192019,331000,,805.803752535994,270682.079929560000,162286.046202780000,234164.906718320000
"E01000234",520783,192197,415000,,614.74421359209,367088.781421285714,445967.859498476190,242687.353888809524
"E01000235",521134,191635,286000,,434.275267570614,409873.746019222222,287677.310895000000,232133.577154166667
"E01000236",523903,188895,310000,,887.121513265416,202825.7331330476078,87174.121108333333,43355.689131500000
"E01000237",522965,188962,340000,,458.535102166776,373672.4956016818043,118936.455570272727,189545.709316727273
"E01000238",523817,189273,375000,,1120.25777334883,311666.2993079565175,357993.587323195652,21671.223900239130
"E01000239",522400,189313,235000,,907.362447879776,275506.0932018666639,465423.916049066667,270317.774851533333
"E01000240",522526,190243,332000,,1321.23076041976,242937.280965500000,1198198.200592535714,220487.931715571429
"E01000241",522977,189885,311000,,1280.21231379224,218969.525441593750,1229239.218324218750,196591.798186375000
"E01000242",523542,189729,499950,,1251.08192080099,307845.7760591034473,1147145.984447068966,20683.546072241379
"E01000243",523250,189559,240000,,972.171697801038,342392.8828042068918,1014339.392547655172,119501.318638896552
"E01000244",522936,189594,315000,,971.552768687234,278728.1255852187465,905188.166100562500,239103.898341375000
"E01000245",523416,189192,325000,,684.212846238044,392743.3003276206758,105472.519844534483,62586.061071241379
"E01000246",525547,196496,330000,,598.804111458443,782892.521653791667,435749.333025903750,118786.047698333333
"E01000247",525966,196664,270000,,787.180634045879,832278.074408342105,585680.863848133158,158453.009041289474
"E01000248",524174,196626,310000,,1030.05850888659,189152.667185166667,462891.670149770833,0.00000000000000000000
"E01000249",523649,196746,489000,,1533.47147580051,67631.535252000000,929189.088439133333,4260.8954712000000000
"E01000250",524810,196595,325000,,587.339412549336,736377.819232878378,445293.015247451892,46376.527219743243
"E01000251",526163,196228,211500,,467.386408664413,690090.022843852941,410842.534991740294,154214.468225632353
"E01000252",525623,196058,287000,,611.211466839587,419290.738292785714,562021.795396117143,160582.053802071429
"E01000253",522633,196083,995000,,2397.40884874078,84651.577666300000,2447016.920280750000,12451.857315475000
"E01000254",524232,197094,400000,,1349.80559617504,529806.982096150000,413943.002667775000,0.00000000000000000000
"E01000255",523049,191770,325000,,1079.85265032314,116408.235998000000,2939011.950279518750,122937.347263843750
"E01000256",522136,191413,335000,,1036.02823675376,396141.174125240000,1476360.681195796000,205478.139229240000
"E01000257",524083,191272,265000,,227.142143678905,29857.430613735294,2154102.763693829412,169130.270193735294
"E01000258",521641,192060,420000,,485.382708489124,338469.976021239130,960830.105585391304,185992.447900521739
"E01000259",523800,191310,365000,,412.476488279647,45333.689364264706,2261239.347697273529,158476.898470338235
"E01000260",522227,191200,286000,,1174.1471973646,513087.137579337838,1204986.838557040541,201799.585455297297
"E01000261",522006,192983,550000,,1231.55803623232,143017.738474375000,1449502.507770921429,39381.564425732143
"E01000262",524324,192099,390000,,744.555134803999,56045.187245904762,2188920.075884692063,82979.985236309524
"E01000263",521452,192856,760000,,981.593324622195,258238.031788117647,1099417.794118852941,122925.575991852941
"E01000264",521172,192654,290000,,746.148881360343,364538.765182785714,801179.380727809524,163356.610294333333
"E01000265",527677,193312,220000,,1378.45364160755,105061.876655636364,968830.867598045455,230471.958447184848
"E01000266",527207,193270,585000,,1281.39902295138,120374.843086200000,699874.342083600000,121995.353035500000
"E01000267",526506,195237,375000,,588.63035631532,17983.797627384615,540601.846152500000,233301.760858115385
"E01000268",526073,195872,222900,,450.135707946556,258186.477477545455,642612.105822575000,160397.954018818182
"E01000269",525804,195328,340000,,936.565802370422,26191.589241500000,749922.973107169091,123474.244898136364
"E01000270",526296,195598,247000,,429.391847880108,100940.110440500000,514523.706369245862,189644.327312655172
"E01000271",526099,194917,420000,,876.933959935327,19165.424946500000,755659.132600954762,186091.752873928571
"E01000272",526985,194556,795000,,380.774296283252,157782.735905333333,394094.956849125000,166019.302026458333
"E01000273",526805,194063,317500,,613.65341153049,53468.092740090909,661480.012560863636,158420.479475636364
"E01000274",527421,193717,277950,,1106.3976457383,162639.549580466667,758940.921724500000,226787.471907353333
"E01000275",525718,192910,330000,,343.223008456344,76514.939002891304,1832467.295087630435,38408.140499586957
"E01000276",525100,192523,565000,,600.826323053628,47512.407217607143,2118937.943115714286,43953.130878821429
"E01000277",525789,192507,280000,,185.200505260262,78335.299682333333,1884303.716487351852,52337.352761592593
"E01000278",525052,192038,575000,,628.887239254451,89009.163556857143,1897773.402592535714,75369.459220107143
"E01000279",525227,193593,700000,,1176.99242583332,42598.578481909091,2212816.394388909091,20928.399174272727
"E01000280",525632,194067,830000,,524.841599620975,44592.090629880952,1265426.849057738095,65202.884045857143
"E01000281",526649,193566,225000,,595.34704578578,94469.527070454545,597439.724040818182,96679.136775136364
"E01000282",526105,193740,423000,,455.70129472328,46956.522292916667,1231918.952947083333,90245.332059516667
"E01000283",525467,193431,685000,,718.410377402628,75491.085656656250,2044598.740482093750,46393.375396781250
"E01000284",526427,193428,290000,,581.671056327653,89781.290395785714,620922.928411880952,26036.593495047619
"E01000285",523862,195635,250000,,1251.20124005537,63476.454476131579,1413476.472604736842,673.3964432894736842
"E01000286",523379,195804,246000,,1695.90374761183,64614.202054800000,1490070.451691200000,0.00000000000000000000
"E01000287",523585,195445,267500,,1587.83394742562,65836.437964687500,1333849.374648781250,280.6067328437500000
"E01000288",525380,195526,345000,,735.002333529182,26999.803490750000,792328.211437688571,60443.824163214286
